abb,name
MM,Middle Marsh
NCMM,N.C. Maritime Museum
PI,Pivers Island
PKS,Pine Knoll Shores
MB,Masonboro
ZB,Zeke's Basin
HI,Harkers Island
NRMC,Newport River Mill Creek
CL,Cape Lookout
